p_id,agent_type,place,agent_mape
2018HU0761031-1430602,wrk_only,unknown,103.88501527526905
2019HU0200052-4290401,wrk_only,west_valley_city,101.13156134423606
2016001359269-4332305,student__age10_15,unknown,100.82058390422814
2016000160731-1394001,wrk_only,unknown,100.76802963328038
2019HU0659132-128903,wrk_only,unknown,100.02289455560852
2017000424387-4337905,student__age05_09,unknown,99.83929267927729
2019HU0862676-1448802,wrk_only,unknown,99.5000474162106
2015001308321-536301,wrk_only,herriman,99.46883767544479
2015001244106-2772601,wrk_only,west_jordan,98.96005969952097
2016000705817-3235105,student__age05_09,unknown,98.1686578107471
2017001349600-1422002,student__lf_elig,unknown,97.8094077360786
2017000346924-4336101,wrk_only,unknown,97.3512006076808
2019HU0577622-4356404,student__age10_15,unknown,96.56311940514621
2018HU1350963-3254904,student__age_under05,unknown,96.54502535597584
2015001165386-5247803,wrk_only,riverton,96.45270683803643
2018HU0761031-1430603,wrk__student,unknown,96.17864269529771
2015000555676-1851204,wrk_only,west_jordan,96.06224681320329
2017000424387-4337903,student__age10_15,unknown,95.85116424289727
2017000043087-1410305,student__age10_15,unknown,95.18851547940208
2017000043087-1410301,wrk_only,unknown,94.32615869746766
2018HU0761031-1430504,student__age10_15,unknown,94.32602365283005
2018HU0336029-1425502,wrk_only,unknown,93.93900614367855
2017000144742-2393301,wrk_only,west_valley_city,93.56447572998053
2015000451197-221701,wrk_only,west_jordan,93.54872104624806
2017000424387-4339404,student__age10_15,unknown,93.19456997710506
2015001317311-3454502,wrk_only,riverton,93.16259079677958
2015001304821-722304,wrk_only,south_jordan,92.96758908557614
2017000204192-1412904,childcare,unknown,92.39492791469266
2015000902560-3378203,wrk_only,riverton,92.35530618033584
2015000599314-3295802,wrk_only,south_jordan,92.30780383311652
2017001259921-4343705,student__age05_09,unknown,91.99948635140007
2016001305620-3958102,wrk_only,riverton,91.24117528653974
2018HU0761031-1430605,student__age10_15,unknown,91.06995224770691
2015000038600-3576501,wrk__student,riverton,90.69325820559936
2017000424387-4337904,student__age10_15,unknown,90.58018494486552
2016000420041-3007901,wrk_only,south_jordan,90.16620340953251
2015000996240-3141201,wrk__student,herriman,89.95505672258466
2015000202667-3101202,wrk_only,herriman,89.92704764990303
2017000275344-3112701,wrk_only,west_jordan,89.72409677059952
2015000038600-4069601,wrk__student,south_jordan,89.62738143875421
2015000012444-2989002,wrk_only,south_jordan,89.09897489172917
2015000928846-309402,wrk_only,west_jordan,89.08736080612051
2015001123933-5987101,wrk_only,murray,88.92042596662341
2016000232537-3595202,wrk_only,riverton,88.85888737889923
2016000442736-4327006,wrk_only,unknown,88.45046955256323
2015000184654-1376802,wrk_only,unknown,87.87525311993257
2016001444251-1408702,wrk_only,unknown,87.79884847448614
2017001349600-1422003,student__age10_15,unknown,87.76944454948854
2015000235812-4005801,wrk_only,riverton,87.49266909564375
2015000684323-3109402,wrk_only,south_jordan,87.40885471954533
2015001047223-1250103,wrk_only,riverton,87.34683243021922
2018HU0761031-1430502,wrk_only,unknown,87.24087276944994
2017000028472-2894703,wrk_only,west_jordan,87.21230077093173
2016000514659-1397301,wrk_only,unknown,86.57419991123794
2018HU1264021-1701703,wrk_only,west_valley_city,86.56060564999179
2019HU1338284-4360702,wrk_only,unknown,86.45402677863997
2019HU1348664-142801,wrk_only,south_jordan,86.43900635691205
2016000422374-3945001,wrk_only,riverton,86.40882343247205
2015000902560-3376702,wrk_only,riverton,86.313675496545
2016000661171-1285902,wrk_only,riverton,86.270198055222
2018HU0832367-3348203,wrk_only,south_jordan,85.94892955009922
2016001444251-1408701,wrk_only,unknown,85.91222964305105
2015000560220-5240701,wrk_only,riverton,85.83337856722288
2015001203038-3111903,wrk_only,west_valley_city,85.69901881901446
2015000597560-3372406,wrk_only,riverton,85.68108725664914
2015000968516-4447201,wrk__student,south_jordan,85.6023260569958
2019HU1372923-1456306,student__age05_09,unknown,85.32020208837613
2015001165386-5247903,wrk_only,riverton,85.24423402239766
2015000424064-1550001,wrk_only,west_jordan,85.2385976676609
2015000749630-1384801,wrk_only,unknown,85.21900372848164
2015000278618-1548501,wrk_only,west_jordan,85.15193435435889
2015000433417-1529601,wrk__student,west_jordan,85.12536599107125
2015000235812-2679701,wrk_only,south_jordan,84.97170165912303
2016001198021-4330702,wrk_only,unknown,84.83092515355798
2016001359269-4332304,student__lf_elig,unknown,84.60205968901452
2018HU0761031-1430505,student__age10_15,unknown,84.56885761007771
2016001284076-360104,wrk__student,bluffdale,84.52737799966744
2018HU0179299-4346201,wrk_only,unknown,84.52572265334214
2015000570444-2429003,wrk__student,west_valley_city,84.51040100448705
2015001040511-1037501,wrk_only,herriman,84.36792032666803
2015000716457-4430301,wrk_only,south_jordan,84.33490044186031
2015001235298-4123501,wrk__student,south_jordan,84.23452684343982
2016001083620-1576101,wrk__student,west_jordan,84.17050919281428
2015000982159-4009902,wrk_only,riverton,83.82428073913276
2015000166210-1222701,wrk_only,herriman,83.79108637477444
2015000868644-4435502,wrk_only,south_jordan,83.7678238601841
2015000606502-5241202,wrk_only,riverton,83.72915489844117
2016000420041-451901,wrk_only,bluffdale,83.70748161929636
2017000204192-1412903,student__age05_09,unknown,83.6135913929491
2015001047223-1250101,wrk_only,riverton,83.48979322701469
2015001291036-3550602,wrk__student,south_jordan,83.45096492612117
2016000922395-3433801,wrk_only,unknown,83.36719993126306
2019HU0200016-2756901,wrk_only,south_jordan,83.29254325099144
2015000902560-2999203,wrk_only,south_jordan,83.10890875220478
2015000057262-3834501,wrk_only,taylorsville,83.05541792635121
2016000041318-3592301,wrk_only,south_jordan,82.85680266428737
